"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"1","2",2006,"7","3F42001^^260002^R","3F42001^^260002^H02",4,120,30,"smolt",79939,2201.19,0.0275358711017151,77737.81
"2","2",2004,"7","3F42001^^260002^R","3F42001^^260002^H02",5,121,30,"smolt",87624,787.29,0.00898486715968228,86836.71
"3","2",2005,"7","3F42001^^260002^R","3F42001^^260002^H02",5,121,30,"smolt",85222,1513.02,0.0177538663725329,83708.98
"4","2",2003,"7","3F42001^^260002^R","3F42001^^260002^H02",5,122,30,"smolt",92696,1350.78,0.0145721498230776,91345.22
"5","2",2018,"7","3F42001^^260002^R","3F42001^^260002^H02",5,122,30,"smolt",982740,831.44,0.000846042696949346,981908.56
"6","2",2002,"7","3F42001^^260002^R","3F42001^^260002^H02",5,124,30,"smolt",89822,790.43,0.00879995992073211,89031.57
"7","2",2001,"7","3F42001^^260002^R","3F42001^^260002^H02",4,94,40,"smolt",77182,1101.25,0.0142682231608406,76080.75
"8","2",2000,"7","3F42001^^260002^R","3F42001^^260002^H02",4,106,40,"smolt",91000,792.24,0.00870593406593407,90207.76
