"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"42","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",11,307,30,"smolt",101528,522,0.0051414388149082,101006
"43","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",11,308,30,"smolt",101027,116.77,0.00115582962970295,100910.23
"44","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,40,"smolt",22549,118.04,0.00523482194332343,22430.96
"45","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,40,"smolt",47431,258.32,0.00544622715101938,47172.68
"46","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,40,"smolt",22982,190.35,0.00828256896701767,22791.65
"47","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",11,325,40,"smolt",49472,56.44,0.00114084734799483,49415.56
"48","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",12,335,40,"smolt",49347,42.41,0.00085942407846475,49304.59
"49","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",2,35,50,"smolt",94949,424.76,0.00447355948983138,94524.24
"50","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,50,"smolt",94131,204.83,0.0021760100285772,93926.17
"51","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,50,"smolt",44032,396.85,0.00901276344476744,43635.15
"52","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,50,"smolt",159101,1486.16,0.00934098465754458,157614.84
"53","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",3,76,50,"smolt",99327,458.95,0.00462059661522043,98868.05
"54","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,50,"smolt",65544,408.72,0.00623581105822043,65135.28
"55","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,50,"smolt",90982,163.59,0.00179804796553164,90818.41
"56","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",1,22,60,"smolt",53759,279.74,0.00520359381684927,53479.26
"57","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,60,"smolt",99491,23.16,0.00023278487501382,99467.84
"58","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,60,"smolt",96189,5.12,5.32285396459055e-05,96183.88
"59","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",3,61,60,"smolt",96689,85.49,0.00088417503542285,96603.51
"60","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,60,"smolt",99828,984.07,0.00985765516688705,98843.93
"61","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,60,"smolt",209206,1492.51,0.00713416441211055,207713.49
"62","1",2012,"1","3F42001^^260002^R","3F42001^^260002^H02",3,78,60,"smolt",98393,808.1,0.00821298263087821,97584.9
"63","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",3,79,60,"smolt",98846,733.68,0.00742245513222589,98112.32
