"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"40","1",2016,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","spawngr",500424,215.48,0.000430594855562483,500208.52
"41","1",2017,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","spawngr",247549,173,0.000698851540503092,247376
"42","1",2020,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","spawngr",491700,739.92,0.00150482001220256,490960.08
"43","1",2019,"3F10806^^180272^R","3F10806^^180272^H",6,153,10,"smolt","spawngr",739500,252.58,0.000341555104800541,739247.42
"44","1",2015,"3F10806^^180272^R","3F10806^^180272^H",6,161,10,"smolt","spawngr",499694,685.56,0.00137195963929925,499008.44
"45","1",2018,"3F10806^^180272^R","3F10806^^180272^H",6,161,10,"smolt","spawngr",747075,296.84,0.000397336278151457,746778.16
"46","1",2013,"3F10806^^180272^R","3F10806^^180272^H",6,168,10,"smolt","spawngr",249091,8.22,3.29999879562088e-05,249082.78
"47","1",2014,"3F10806^^180272^R","3F10806^^180272^H",3,75,50,"smolt","spawngr",277255,70.36,0.000253773601918811,277184.64
"48","1",2017,"3F10806^^180272^R","3F10806^^180272^H",4,94,50,"smolt","spawngr",193663,53.62,0.000276872711875784,193609.38
"49","1",2019,"3F10806^^180272^R","3F10806^^180272^H",4,95,50,"smolt","spawngr",377994,233.2,0.000616941009645656,377760.8
"50","1",2020,"3F10806^^180272^R","3F10806^^180272^H",4,96,50,"smolt","spawngr",98000,11.6,0.000118367346938776,97988.4
"51","1",2018,"3F10806^^180272^R","3F10806^^180272^H",2,44,60,"smolt","spawngr",729296,154.93,0.000212437748184551,729141.07
"52","1",2013,"3F10806^^180272^R","3F10806^^180272^H",4,91,60,"smolt","spawngr",531807,349.63,0.000657437754674158,531457.37
"53","1",2011,"3F10806^^180272^R","3F10806^^180272^H",4,95,60,"smolt","spawngr",391734,30.64,7.82163406801554e-05,391703.36
"54","1",2012,"3F10806^^180272^R","3F10806^^180272^H",4,95,60,"smolt","spawngr",392658,123.02,0.000313300633120935,392534.98
"55","1",2015,"3F10806^^180272^R","3F10806^^180272^H",4,95,60,"smolt","spawngr",176100,36.19,0.000205508233957978,176063.81
"56","1",2010,"3F10806^^180272^R","3F10806^^180272^H",4,93,70,"smolt","spawngr",425800,187.87,0.000441216533583842,425612.13
