"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"47","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",11,325,40,"smolt",98944,56.44,0.000570423673997413,98887.56
"48","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",12,335,40,"smolt",98694,42.41,0.000429712039232375,98651.59
"49","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",2,35,50,"smolt",379796,409.71,0.00107876333610675,379386.29
"50","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,50,"smolt",376524,183.62,0.00048767143661493,376340.38
"51","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,50,"smolt",176128,385.85,0.00219073628270349,175742.15
"52","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,50,"smolt",636404,1425.16,0.00223939510122501,634978.84
"53","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",3,76,50,"smolt",397308,380.17,0.000956864699427145,396927.83
"54","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,50,"smolt",240026,405.72,0.00169031688233775,239620.28
"55","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,50,"smolt",272946,147.69,0.000541096040975138,272798.31
"56","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",1,22,60,"smolt",215036,249.44,0.00115999181532395,214786.56
"57","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,60,"smolt",298473,20.07,6.72422631192771e-05,298452.93
"58","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,60,"smolt",288567,5.12,1.77428465486352e-05,288561.88
"59","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",3,61,60,"smolt",290067,72.36,0.000249459607607897,289994.64
"60","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,60,"smolt",399312,934.58,0.00234047561806307,398377.42
"61","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,60,"smolt",836824,1453.51,0.00173693632113802,835370.49
"62","1",2012,"1","3F42001^^260002^R","3F42001^^260002^H02",3,78,60,"smolt",393572,776.1,0.00197193906070554,392795.9
"63","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",3,79,60,"smolt",197692,595.31,0.00301130040669324,197096.69
"64","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,60,"smolt",379650,593.97,0.00156451995258791,379056.03
"65","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,60,"smolt",399487,348.2,0.000871617849892487,399138.8
"66","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,60,"smolt",88844,21.17,0.000238282832830579,88822.83
"67","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,70,"smolt",94840,221.79,0.00233857022353437,94618.21
"68","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",2,35,80,"smolt",285774,581.69,0.00203548958267722,285192.31
"69","1",2020,"1","3F42001^^260002^R","3F42001^^260002^H02",2,38,80,"smolt",66327,141.78,0.00213759102627889,66185.22
"70","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,80,"smolt",159969,344.72,0.00215491751526858,159624.28
"71","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,80,"smolt",154062,324,0.00210304942166141,153738
"72","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,80,"smolt",167669,288.89,0.00172297801024638,167380.11
"73","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,80,"smolt",173775,183.34,0.0010550424399367,173591.66
"74","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,80,"smolt",363650,385.06,0.00105887529217654,363264.94
"75","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",11,308,80,"smolt",577504,250.46,0.000433693965756081,577253.54
"76","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",288660,51.39,0.000178029515693203,288608.61
"77","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",282174,28.58,0.00010128502271648,282145.42
"78","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",396060,263.26,0.000664697268090693,395796.74
"79","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,90,"smolt",188116,533.07,0.00283373025154692,187582.93
"80","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",3,70,90,"smolt",289473,151.6,0.000523710328769868,289321.4
"81","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",3,74,90,"smolt",383296,1139.2,0.00297211554516614,382156.8
"82","1",2005,"1","3F42001^^260002^R","3F42001^^260002^H02",3,79,90,"smolt",317262,303.24,0.000955803090190442,316958.76
"83","1",2010,"1","3F42001^^260002^R","3F42001^^260002^H02",3,86,90,"smolt",334400,227.05,0.000678977272727273,334172.95
"84","1",2012,"1","3F42001^^260002^R","3F42001^^260002^H02",3,87,90,"smolt",287982,1075.62,0.00373502510573578,286906.38
"85","1",2011,"1","3F42001^^260002^R","3F42001^^260002^H02",3,88,90,"smolt",403832,1356.56,0.00335921868499772,402475.44
"86","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,90,"smolt",258813,386.49,0.00149331756905565,258426.51
"87","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,90,"smolt",272574,265.78,0.000975074658624814,272308.22
"88","1",2020,"1","3F42001^^260002^R","3F42001^^260002^H02",4,101,90,"smolt",1730565,3881.63,0.00224298422769442,1726683.37
"89","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",4,104,90,"smolt",198602,905.37,0.00455871542079133,197696.63
"90","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,100,"smolt",378844,1227.62,0.00324043669689899,377616.38
"91","1",2009,"1","3F42001^^260002^R","3F42001^^260002^H02",3,84,100,"smolt",296268,249.19,0.000841096574722886,296018.81
"92","1",2006,"1","3F42001^^260002^R","3F42001^^260002^H02",3,85,100,"smolt",259323,718.57,0.00277094588601859,258604.43
"93","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,110,"smolt",376104,1009.99,0.00268540084657435,375094.01
"94","1",2008,"1","3F42001^^260002^R","3F42001^^260002^H02",3,88,120,"smolt",284895,543.96,0.00190933501816459,284351.04
