"species","run","location_code","loc_col","name","region"
"3","3","3F10805^^190148^H","hatchery_location_code","HOKO FALLS HATCHERY",6
"2","3","3F10805^^190148^H","hatchery_location_code","HOKO FALLS HATCHERY",6
"1","3","3F10806^^180018^H","hatchery_location_code","DUNGENESS HATCHERY",6
"1","1","3F10806^^180018^H","hatchery_location_code","DUNGENESS HATCHERY",6
"3","4","3F10806^^180018^H","hatchery_location_code","DUNGENESS HATCHERY",6
"3","4","3F10806^^180028^H","hatchery_location_code","HURD CR HATCHERY",6
"1","1","3F10806^^180028^H","hatchery_location_code","HURD CR HATCHERY",6
"1","3","3F10806^^180028^H","hatchery_location_code","HURD CR HATCHERY",6
"1","3","3F10806^^180185^H","hatchery_location_code","MORSE CREEK HATCHERY",6
"1","3","3F10806^^180272^H","hatchery_location_code","ELWHA HATCHERY",6
"3","4","3F10806^^180272^H","hatchery_location_code","ELWHA HATCHERY",6
"1","1","3F10806^^180272^H","hatchery_location_code","ELWHA HATCHERY",6
"1","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"2","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"3","4","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"5","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"2","4","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"3","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"1","3","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"3","4","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"1","1","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"5","3","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"3","2","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"1","2","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"2","3","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"1","1","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"2","2","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"1","3","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"1","2","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"2","3","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"3","4","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"1","5","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"2","7","3F21703^^200096^H02","hatchery_location_code","SOLDUC HATCHERY",6
"3","4","3F21703^^200096^H04","hatchery_location_code","EAGLE CREEK HATCHERY",6
"1","2","3F21703^^200096^H04","hatchery_location_code","EAGLE CREEK HATCHERY",6
"1","1","3F21703^^200096^H04","hatchery_location_code","EAGLE CREEK HATCHERY",6
"3","4","3F21703^^200162^H02","hatchery_location_code","BOGACHIEL HATCHERY",6
"3","2","3F21703^^200162^H02","hatchery_location_code","BOGACHIEL HATCHERY",6
"1","2","3F21703^^200162^H02","hatchery_location_code","BOGACHIEL HATCHERY",6
"3","9","3F21703^^200162^H02","hatchery_location_code","BOGACHIEL HATCHERY",6
"1","2","3F21703^^200399AH","hatchery_location_code","LONESOME CR HATCHERY",6
"3","4","3F21703^^200399AH","hatchery_location_code","LONESOME CR HATCHERY",6
"1","3","3F21703^^200423^H","hatchery_location_code","CHALAAT CR HATCHERY",6
"3","4","3F21703^^200423^H","hatchery_location_code","CHALAAT CR HATCHERY",6
"1","1","3F21703^^200423^H","hatchery_location_code","CHALAAT CR HATCHERY",6
"1","3","3F21704^^200004^H","hatchery_location_code","WAATCH CR HATCHERY",6
"3","4","3F21704^^200010^H","hatchery_location_code","EDUCKET CR HATCHERY",6
"3","3","3F21704^^200010^H","hatchery_location_code","EDUCKET CR HATCHERY",6
"1","3","3F21704^^200010^H","hatchery_location_code","EDUCKET CR HATCHERY",6
"2","3","3F21704^^200010^H","hatchery_location_code","EDUCKET CR HATCHERY",6
"2","4","3F21704^^200010^H","hatchery_location_code","EDUCKET CR HATCHERY",6
"1","3","3F21802^^220004^H","hatchery_location_code","HUMPTULIPS HATCHERY",6
"2","7","3F21802^^220004^H","hatchery_location_code","HUMPTULIPS HATCHERY",6
"3","4","3F21802^^220004^H","hatchery_location_code","HUMPTULIPS HATCHERY",6
"3","2","3F21802^^220004^H","hatchery_location_code","HUMPTULIPS HATCHERY",6
"3","2","3F21802^^220240^H","hatchery_location_code","LK ABERDEEN HATCHERY",6
"3","4","3F21802^^220240^H","hatchery_location_code","LK ABERDEEN HATCHERY",6
"3","9","3F21802^^220240^H","hatchery_location_code","LK ABERDEEN HATCHERY",6
"1","3","3F21802^^220240^H","hatchery_location_code","LK ABERDEEN HATCHERY",6
"1","3","3F21802^^220360^H","hatchery_location_code","BINGHAM CR HATCHERY",6
"2","7","3F21802^^220360^H","hatchery_location_code","BINGHAM CR HATCHERY",6
"1","1","3F21802^^220360^H","hatchery_location_code","BINGHAM CR HATCHERY",6
"3","4","3F21802^^220360^H","hatchery_location_code","BINGHAM CR HATCHERY",6
"3","9","3F21802^^220360^H","hatchery_location_code","BINGHAM CR HATCHERY",6
"3","4","3F21802^^220363^H","hatchery_location_code","MITCHELL CR HATCHERY",6
"2","7","3F21802^^230649^H","hatchery_location_code","CHEHALIS HATCHERY",6
"2","7","3F21802^^230761^H","hatchery_location_code","SKOOKUMCHUCK HATCHERY",6
"3","4","3F21802^^230761^H","hatchery_location_code","SKOOKUMCHUCK HATCHERY",6
"1","3","3F21902^^240356^H","hatchery_location_code","FORKS CREEK HATCHERY",6
"3","4","3F21902^^240356^H","hatchery_location_code","FORKS CREEK HATCHERY",6
