"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"40","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",11,306,30,"smolt",165518,12.08,7.2982998827922e-05,165505.92
"41","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",11,307,30,"smolt",557040,134.7,0.000241813873330461,556905.3
"42","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",11,307,30,"smolt",812224,542.02,0.000667328224726184,811681.98
"43","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",11,308,30,"smolt",352948,131.75,0.00037328444983397,352816.25
"44","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,40,"smolt",405882,235.48,0.000580168620436482,405646.52
"45","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,40,"smolt",1660085,480.53,0.000289461081812076,1659604.47
"46","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,40,"smolt",367712,272.19,0.000740226046471151,367439.81
"47","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",11,325,40,"smolt",49472,56.44,0.00114084734799483,49415.56
"48","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",12,335,40,"smolt",148041,50.62,0.00034193230253781,147990.38
"49","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",2,35,50,"smolt",2753521,810.65,0.000294404872888204,2752710.35
"50","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,50,"smolt",941310,224.75,0.000238763000499304,941085.25
"51","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,50,"smolt",880562,590.15,0.00067019698783277,879971.85
"52","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,50,"smolt",8695141,3200.7,0.000368102138884234,8691940.3
"53","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",3,76,50,"smolt",1489905,445.91,0.000299287538467218,1489459.09
"54","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,50,"smolt",1290856,779.71,0.00060402554583935,1290076.29
"55","1",2021,"3","3F42001^^260002^R07","3F42001^^260002^H02",4,91,50,"smolt",6048,5.51,0.000911044973544974,6042.49
"56","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,50,"smolt",595955,227.49,0.000381723452274081,595727.51
"57","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",1,22,60,"smolt",645108,279.48,0.000433229784780223,644828.52
